Emp_ID,Last Name,First NameDOB_New,SSN,State
214,Simpson,Sarah,1985-12-04,282-01-8166,Florida
15,Lara,Samantha,1993-09-08,848-80-7526,Colorado
411,Charles,Stacy,1957-12-20,658-75-8526,Pennsylvania
166,Roy,Michelle,1978-07-29,794-25-3944,Michigan
39,Rogers,Joseph,1985-03-28,525-40-3515,Minnesota
423,Hines,Erica,1975-10-13,034-90-6153,New York
192,Patel,Zoe,1967-12-20,037-50-0817,Wisconsin
162,Harvey,Matthew,1990-01-20,244-53-0346,Tennessee
131,Davis,Shawn,1961-07-21,309-08-1581,West Virginia
20,Baldwin,April,1961-08-07,068-61-2014,Missouri
246,Daniels,Vincent,1972-01-06,319-38-2754,Montana
525,Fields,Ann,1960-08-22,752-98-7911,Iowa
392,Pearson,Jeffrey,1979-05-05,171-82-2578,Illinois
474,Johnson,Heather,1989-09-23,724-30-0904,Georgia
478,Fletcher,Melissa,1979-03-14,899-91-6881,Rhode Island
101,Alvarez,Kimberly,1984-09-04,138-08-8680,Louisiana
52,Jimenez,Monica,1988-04-08,835-26-1668,North Dakota
182,Johnson,Steven,1962-05-28,026-20-7070,Nebraska
637,Wood,Sarah,1972-06-15,235-96-6715,Florida
510,Petersen,Jesus,1958-03-28,133-75-0770,Oklahoma
122,Rosales,Rhonda,1963-04-10,498-27-0286,Alabama
294,Richardson,Nicole,1981-09-09,369-83-5228,Louisiana
327,Mendez,Jennifer,1977-07-20,736-41-1994,Oregon
145,Petty,Sandra,1981-01-30,702-18-7629,North Carolina
565,Hester,Michael,1987-04-13,022-21-6836,South Dakota
590,Brown,Joseph,1982-08-28,517-03-4744,New Hampshire
340,Cooper,Michelle,1993-08-23,056-59-2306,Washington
176,Wise,Barbara,1991-12-15,894-82-7662,Indiana
63,Rosales,Carol,1984-07-20,874-92-4907,New Jersey
121,Villa,Mark,1969-02-24,700-15-2207,Mississippi
70,Orozco,Russell,1973-09-16,241-61-5514,Mississippi
446,Sanchez,Michelle,1994-08-21,377-34-5222,Oklahoma
156,Ayala,Briana,1965-10-31,039-74-4542,Connecticut
343,Roberts,Shane,1958-12-14,225-39-6030,Hawaii
599,Morris,Cassandra,1973-01-24,109-15-3831,Montana
102,Thompson,Krista,1984-07-25,827-54-7445,Kentucky
377,Bennett,Jon,1957-09-13,135-85-1689,New Mexico
240,Thomas,April,1993-12-03,372-48-3580,Colorado
455,Martinez,Haley,1968-01-15,179-78-3736,Idaho
503,Stafford,Isaac,1989-11-25,759-75-5036,South Dakota
269,Martinez,John,1987-01-06,035-41-3936,New Hampshire
219,Phillips,John,1982-12-08,488-42-4070,West Virginia
301,Shelton,Gary,1978-09-11,245-30-9672,South Dakota
84,Gordon,Amanda,1969-10-12,093-15-2966,Maine
588,Holt,Jessica,1963-09-12,741-11-6084,Nebraska
540,Estes,Stephanie,1966-07-15,274-51-9779,South Dakota
329,Brown,Jessica,1992-02-01,430-42-7328,Mississippi
74,Manning,Donna,1973-05-19,279-18-7781,New Mexico
29,Owens,Nicholas,1991-08-20,307-42-7882,Virginia
92,Ryan,Wendy,1960-05-13,218-69-0741,Arizona
489,Hooper,Kimberly,1971-09-08,756-97-3136,Georgia
561,Gonzalez,Deborah,1975-05-28,020-98-0643,Montana
44,Yoder,Laura,1987-04-18,376-03-3016,Indiana
138,Velez,Kimberly,1958-03-07,430-03-0707,Arizona
623,Garcia,Kevin,1973-05-15,696-93-4337,Oklahoma
173,Jones,Marcia,1972-11-20,848-99-0963,North Dakota
148,Baldwin,Nicole,1978-08-11,720-35-5508,Nevada
184,Juarez,Katherine,1986-02-13,060-72-8687,California
228,Thompson,Paula,1985-09-22,568-48-7734,North Carolina
117,Hoover,Joan,1973-02-27,689-60-5429,New Mexico
544,Simon,Stephen,1962-11-28,591-94-1621,Nevada
116,Taylor,Rebecca,1962-09-30,130-97-9126,Minnesota
622,Owens,Lindsay,1973-04-28,596-62-6742,Delaware
376,Payne,Justin,1983-07-03,055-45-7892,Alaska
100,Thornton,Michelle,1961-01-25,502-30-4112,Georgia
222,Hill,Timothy,1985-08-11,772-61-4460,South Carolina
506,Johnson,Karen,1976-01-05,779-15-5174,Ohio
59,Mcintosh,Alexis,1962-03-01,870-65-9185,Kentucky
456,Fitzgerald,Susan,1961-09-18,265-14-3222,Alabama
389,Stewart,Amber,1958-08-26,308-32-3120,Ohio
236,Evans,Taylor,1983-07-17,725-79-2641,New Jersey
78,Knight,Tracy,1993-09-27,042-56-8339,Idaho
253,Parks,Jason,1981-02-27,088-08-2601,Arizona
67,Carroll,Jonathan,1973-06-15,343-24-7126,South Carolina
642,Wallace,Sara,1959-06-21,132-20-6918,Mississippi
279,Mitchell,Jeffrey,1969-05-23,547-04-4559,Utah
41,West,April,1986-03-11,348-25-9544,Delaware
30,Reynolds,Ryan,1973-02-05,474-92-2883,Indiana
462,Bell,Rachel,1989-07-24,451-75-1379,Alabama
87,Williamson,Amber,1984-06-20,178-09-4567,Louisiana
26,Park,Tony,1968-10-08,146-60-7749,Utah
553,Jefferson,Robert,1981-10-04,364-47-6302,Ohio
151,Hernandez,Sarah,1987-07-05,248-41-5549,Wyoming
523,Foley,Margaret,1968-12-19,466-57-4633,California
434,Christensen,Tina,1988-03-01,140-03-0333,Tennessee
1,Gomez,Isaac,1987-10-16,360-76-4728,Wyoming
365,Davis,Phillip,1961-04-24,691-06-5132,Vermont
230,Douglas,Brian,1979-09-18,308-74-9324,Nevada
357,Wilson,Teresa,1994-08-12,370-66-9378,Indiana
142,Wilson,Timothy,1993-11-21,362-88-1270,West Virginia
606,Davies,Lori,1980-08-21,090-30-9489,Alaska
129,Stone,Brittany,1985-11-21,159-22-0950,Colorado
34,Rogers,Matthew,1974-03-09,571-16-2560,California
190,Gardner,Francisco,1972-08-18,541-83-0367,Wisconsin
259,Patrick,Ashley,1979-12-06,134-56-7953,Oregon
471,Frey,Brandi,1979-07-23,604-25-2997,Maryland
362,Kelley,Garrett,1974-12-20,235-22-1192,Pennsylvania
620,Barron,Robert,1985-04-19,057-87-0735,Nebraska
299,Serrano,Lee,1967-06-19,775-19-0867,West Virginia
213,Vance,Jessica,1959-04-30,260-03-9076,Delaware
427,Ashley,Russell,1973-02-15,270-49-2395,Ohio
105,Richardson,Catherine,1989-10-03,456-33-2969,Wyoming
260,Hamilton,Sheri,1986-03-12,323-01-9319,New Hampshire
